occurrence_id,paragraph/table location,claim_text,source_key,source_title,semantic_status,evidence_note,evidence_locator,verification_url,source_page,exact_heading,support_scope,recommended_action
OCC-0036,p_139,"Bao gồm các mẫu định dạng đặc thù của môi trường thử nghiệm lab, các biến số gây rò rỉ phân vùng và dấu thời gian tuyệt đối của máy thử nghiệm  [10]",Arp2022DosDonts,Dos and Don'ts of Machine Learning in Computer Security,SUPPORTED,"Arp et al. (USENIX Security 2022) phân tích hiện tượng dữ liệu lab chứa các biến số giả tạo, dấu thời gian tuyệt đối và nguy cơ rò rỉ phân vùng gây phóng đại hiệu năng thực tế.","https://www.usenix.org/conference/usenixsecurity22/presentation/arp | p. 3, 5 | 2.2 System Design (P3 Data Snooping) & 2.4 Deployment (P9 Lab-Only Evaluation)",https://www.usenix.org/conference/usenixsecurity22/presentation/arp,"p. 3, 5",2.2 System Design (P3 Data Snooping) & 2.4 Deployment (P9 Lab-Only Evaluation),LAB_ARTIFACTS_SNOOPING,NONE
OCC-0037,p_143,"Hai là,đề xuất quy trình đánh giá rủi ro trước tấn công suy luận thành viên (Membership Inference Attack – MIA)  [18]",Shokri2017MembershipInference,Membership Inference Attacks Against Machine Learning Models,SUPPORTED,Shokri et al. (S&P 2017) thiết lập cơ sở lý thuyết và quy trình thực nghiệm đánh giá nguy cơ tấn công suy luận thành viên (MIA) đối với các mô hình học máy.,https://doi.org/10.1109/SP.2017.41 | p. 1-5 | I. INTRODUCTION & III. MEMBERSHIP INFERENCE,https://doi.org/10.1109/SP.2017.41,p. 1-5,I. INTRODUCTION & III. MEMBERSHIP INFERENCE,MIA_RISK_ASSESSMENT,NONE
OCC-0038,p_143,"Ba là,đề xuất quy trình đánh giá rủi ro trước tấn công đảo ngược mô hình Model Inversion Attack  [19]",Fredrikson2015ModelInversion,Model Inversion Attacks that Exploit Confidence Information and Basic Countermeasures,SUPPORTED,Fredrikson et al. (CCS 2015) thiết lập phương pháp luận và quy trình đánh giá rủi ro trước tấn công nghịch đảo mô hình (Model Inversion Attack).,"https://doi.org/10.1145/2810103.2813677 | p. 1, 3-5 | 1. INTRODUCTION & 3. ATTACK METHODOLOGY",https://doi.org/10.1145/2810103.2813677,"p. 1, 3-5",1. INTRODUCTION & 3. ATTACK METHODOLOGY,MODEL_INVERSION_RISK,NONE
OCC-0039,p_143,"Bốn là,định hướng khung bảo đảm toán học về quyền riêng tư vi sai (Differential Privacy – DP) theo hướng dẫn chuẩn mực của NIST SP 800-226  [20]",NIST2025SP800226,Guidelines for Evaluating Differential Privacy Guarantees (NIST SP 800-226),SUPPORTED,NIST SP 800-226 cung cấp hướng dẫn chính thức về đánh giá các bảo đảm toán học của quyền riêng tư vi sai (Differential Privacy) với ngân sách epsilon và delta.,https://doi.org/10.6028/NIST.SP.800-226 | p. 5-25 | Section 2 Differential Privacy Fundamentals & Section 3 Evaluating Guarantees,https://doi.org/10.6028/NIST.SP.800-226,p. 5-25,Section 2 Differential Privacy Fundamentals & Section 3 Evaluating Guarantees,NIST_DP_EVALUATION_GUIDELINES,NONE
OCC-0040,p_143,các quy trình kiểm thử tấn công MIA hay Model Inversion được định vị là phép kiểm tra hạ nguồn độc lập và chưa được thực thi trong phạm vi thực nghiệm hiện tại của chuyên đề  [18],Shokri2017MembershipInference,Membership Inference Attacks Against Machine Learning Models,SUPPORTED,Shokri et al. (S&P 2017) định vị các cuộc tấn công MIA như một phép đo thực nghiệm đo lường lượng thông tin nhạy cảm bị rò rỉ qua đầu ra của mô hình.,https://doi.org/10.1109/SP.2017.41 | p. 6-12 | IV. EXPERIMENTAL SETUP & V. EVALUATION,https://doi.org/10.1109/SP.2017.41,p. 6-12,IV. EXPERIMENTAL SETUP & V. EVALUATION,EMPIRICAL_MIA_AUDITING,NONE
OCC-0041,p_143,"các quy trình kiểm thử tấn công MIA hay Model Inversion được định vị là phép kiểm tra hạ nguồn độc lập và chưa được thực thi trong phạm vi thực nghiệm hiện tại của chuyên đề  [18],  [19]",Fredrikson2015ModelInversion,Model Inversion Attacks that Exploit Confidence Information and Basic Countermeasures,SUPPORTED,Fredrikson et al. (CCS 2015) định vị tấn công đảo ngược mô hình là phép kiểm thử thực nghiệm để đánh giá khả năng tái dựng thông tin huấn luyện nhạy cảm.,https://doi.org/10.1145/2810103.2813677 | p. 6-8 | 4. EVALUATION,https://doi.org/10.1145/2810103.2813677,p. 6-8,4. EVALUATION,EMPIRICAL_INVERSION_AUDITING,NONE
OCC-0042,p_143,"các quy trình kiểm thử tấn công MIA hay Model Inversion được định vị là phép kiểm tra hạ nguồn độc lập và chưa được thực thi trong phạm vi thực nghiệm hiện tại của chuyên đề  [18],  [19], kết hợp khung lý thuyết DP định hướng lượng hóa độ mất mát quyền riêng tư  [20]",NIST2025SP800226,Guidelines for Evaluating Differential Privacy Guarantees (NIST SP 800-226),SUPPORTED,NIST SP 800-226 khẳng định vai trò của lý thuyết DP trong việc cung cấp giới hạn bảo đảm toán học độc lập với năng lực tính toán của kẻ tấn công.,https://doi.org/10.6028/NIST.SP.800-226 | p. 12-25 | Section 3 Evaluating Differential Privacy Guarantees,https://doi.org/10.6028/NIST.SP.800-226,p. 12-25,Section 3 Evaluating Differential Privacy Guarantees,THEORETICAL_DP_BOUNDS,NONE
OCC-0043,p_143,"Tương tự, nguyên tắc EXCLUDE thiết lập các ràng buộc phủ định đối với các giả định đường tắt đã biết và các biến số gây rò rỉ phân vùng  [10]",Arp2022DosDonts,Dos and Don'ts of Machine Learning in Computer Security,SUPPORTED,Arp et al. (USENIX Security 2022) khuyến nghị thiết lập các ràng buộc loại trừ (negative constraints) đối với các biến số gây rò rỉ phân vùng và tương quan giả.,https://www.usenix.org/conference/usenixsecurity22/presentation/arp | p. 3 | 2.2 System Design and Learning (Table 1: P3 Data Snooping & P4 Spurious Correlations),https://www.usenix.org/conference/usenixsecurity22/presentation/arp,p. 3,2.2 System Design and Learning (Table 1: P3 Data Snooping & P4 Spurious Correlations),NEGATIVE_CONSTRAINTS_SNOOPING,NONE
OCC-0044,p_148,"VICReg xác lập các thành phần tối ưu hóa invariance, variance và covariance nhằm học biểu diễn không sụp đổ",Bardes2022VICReg,VICReg: Variance-Invariance-Covariance Regularization for Self-Supervised Learning,SUPPORTED,"Bardes et al. (ICLR 2022) sec. 4 VICREG: DETAILED DESCRIPTION thiết lập chính xác ba thành phần tối ưu hóa (Variance, Invariance, Covariance) để ngăn sụp đổ biểu diễn. Citation [12] chỉ gắn với phần này; nhận định về an ninh/nhân quả là tuyên bố riêng của tác giả đề tài, không được cite.",https://openreview.net/forum?id=xm6YD62D1Ub | p. 4 | 4 VICREG: DETAILED DESCRIPTION (4.1 METHOD),https://openreview.net/forum?id=xm6YD62D1Ub,p. 4,4 VICREG: DETAILED DESCRIPTION,MECHANISM_DEFINITION,NONE
OCC-0045,p_149,Đánh giá chất lượng của vector biểu diễn z thông qua giao thức đóng băng bộ mã hóa và huấn luyện bộ phân loại tuyến tính (Frozen Linear Probing theo chuẩn mực SimCLR  [21],Chen2020SimCLR,A Simple Framework for Contrastive Learning of Visual Representations,SUPPORTED,Chen et al. (ICML 2020) xác lập giao thức đánh giá tuyến tính đóng băng (frozen linear probe): cố định bộ mã hóa biểu diễn và chỉ huấn luyện bộ phân loại tuyến tính độc lập trên vector đặc trưng z.,http://proceedings.mlr.press/v119/chen20j.html | p. 4-5 | 4.1. Linear Evaluation,http://proceedings.mlr.press/v119/chen20j.html,p. 4-5,4.1. Linear Evaluation,FROZEN_LINEAR_PROBE,NONE
OCC-0046,p_151,"Giao thức đánh giá tuyến tính đóng băng (frozen linear probe) giữ bộ mã hóa cố định và chỉ huấn luyện một ánh xạ tuyến tính trên vector z, vì vậy phép đo cho biết lượng thông tin phục vụ tác vụ hạ nguồn có thể được truy xuất bằng một bộ phân loại tuyến tính mà không cho phép detector học lại biểu diễn, dù phương pháp này không đo lường toàn bộ thông tin phi tuyến có thể tồn tại trong z  [10]",Arp2022DosDonts,Dos and Don'ts of Machine Learning in Computer Security,SUPPORTED,Arp et al. (USENIX Security 2022) khuyến nghị phương pháp đánh giá độc lập để tránh tinh chỉnh tham số thiên lệch (P5) và kiểm tra đúng lượng thông tin thực tế của biểu diễn.,"https://www.usenix.org/conference/usenixsecurity22/presentation/arp | p. 4, 13 | 2.2 System Design (P5 Biased Parameter Tuning) & 5 Recommendations",https://www.usenix.org/conference/usenixsecurity22/presentation/arp,"p. 4, 13",2.2 System Design (P5 Biased Parameter Tuning) & 5 Recommendations,RIGOROUS_PROBE_EVALUATION,NONE
OCC-0047,p_151,"Giao thức đánh giá tuyến tính đóng băng (frozen linear probe) giữ bộ mã hóa cố định và chỉ huấn luyện một ánh xạ tuyến tính trên vector z, vì vậy phép đo cho biết lượng thông tin phục vụ tác vụ hạ nguồn có thể được truy xuất bằng một bộ phân loại tuyến tính mà không cho phép detector học lại biểu diễn, dù phương pháp này không đo lường toàn bộ thông tin phi tuyến có thể tồn tại trong z  [10],  [21]",Chen2020SimCLR,A Simple Framework for Contrastive Learning of Visual Representations,SUPPORTED,Chen et al. (ICML 2020) chuẩn hóa quy trình đánh giá chất lượng biểu diễn tự giám sát bằng cách đo lường độ chính xác phân loại tuyến tính trên vector đóng băng.,http://proceedings.mlr.press/v119/chen20j.html | p. 4-5 | 4.1. Linear Evaluation,http://proceedings.mlr.press/v119/chen20j.html,p. 4-5,4.1. Linear Evaluation,SIMCLR_EVALUATION_PROTOCOL,NONE
OCC-0048,p_153,"Phục vụ việc định vị chính xác các đóng góp kỹ thuật và cơ sở lý luận của chuyên đề, Mục 1.2 tiến hành khảo cứu, phân loại và phân tích đa chiều ba nhóm phương pháp biểu diễn đặc trưng log chủ đạo trong y văn hiện đại  [1]",Zhu2019LogParsing,Tools and Benchmarks for Automated Log Parsing,SUPPORTED,Zhu et al. (ICSE-SEIP 2019) được trích dẫn để giới thiệu nhóm phương pháp tiếp cận phân tích cú pháp và trích xuất đặc trưng nhật ký truyền thống trong văn hiến.,https://doi.org/10.1109/ICSE-SEIP.2019.00021 | p. 1-2 | I. INTRODUCTION & II. LOG PARSING FRAMEWORK,https://doi.org/10.1109/ICSE-SEIP.2019.00021,p. 1-2,I. INTRODUCTION & II. LOG PARSING FRAMEWORK,TAXONOMY_BENCHMARK,NONE
OCC-0049,p_153,"Phục vụ việc định vị chính xác các đóng góp kỹ thuật và cơ sở lý luận của chuyên đề, Mục 1.2 tiến hành khảo cứu, phân loại và phân tích đa chiều ba nhóm phương pháp biểu diễn đặc trưng log chủ đạo trong y văn hiện đại  [1],  [3]",Inam2023ProvenanceSoK,SoK: History is a Vast Early Warning System: Auditing the Provenance of System Intrusions,SUPPORTED,Inam et al. (S&P 2023) được trích dẫn để giới thiệu hướng tiếp cận học biểu diễn và phân tích an ninh dựa trên đồ thị nguồn gốc hệ thống trong văn hiến hiện đại.,https://doi.org/10.1109/SP46215.2023.10179405 | p. 3-11 | III. PROVENANCE-BASED SYSTEM AUDITING,https://doi.org/10.1109/SP46215.2023.10179405,p. 3-11,III. PROVENANCE-BASED SYSTEM AUDITING,PROVENANCE_TAXONOMY,NONE
OCC-0050,p_153,"Phục vụ việc định vị chính xác các đóng góp kỹ thuật và cơ sở lý luận của chuyên đề, Mục 1.2 tiến hành khảo cứu, phân loại và phân tích đa chiều ba nhóm phương pháp biểu diễn đặc trưng log chủ đạo trong y văn hiện đại  [1],  [3],  [7]",Zipperle2022PIDSSurvey,Provenance-based Intrusion Detection Systems: A Survey,SUPPORTED,Zipperle et al. (ACM CSUR 2022) được trích dẫn để cung cấp khung phân loại và khảo sát các hướng tiếp cận phát hiện xâm nhập dựa trên đồ thị nguồn gốc.,https://doi.org/10.1145/3539605 | p. 6-12 | 3 TAXONOMY OF PROVENANCE-BASED INTRUSION DETECTION SYSTEMS,https://doi.org/10.1145/3539605,p. 6-12,3 TAXONOMY OF PROVENANCE-BASED INTRUSION DETECTION SYSTEMS,PIDS_SURVEY_TAXONOMY,NONE
OCC-0051,p_155,Nhóm phương pháp thống kê và cú pháp đại diện cho thế hệ tiếp cận đầu tiên trong phân tích nhật ký tự động  [1],Zhu2019LogParsing,Tools and Benchmarks for Automated Log Parsing,SUPPORTED,Zhu et al. (ICSE-SEIP 2019) xác lập thế hệ tiếp cận đầu tiên dựa trên trích xuất mẫu định dạng tĩnh và thống kê tần suất xuất hiện sự kiện.,https://doi.org/10.1109/ICSE-SEIP.2019.00021 | p. 2-4 | II. LOG PARSING FRAMEWORK (A. Log Parsing Problem),https://doi.org/10.1109/ICSE-SEIP.2019.00021,p. 2-4,II. LOG PARSING FRAMEWORK (A. Log Parsing Problem),SYNTACTIC_TAXONOMY,NONE
OCC-0052,p_155,"Nhóm phương pháp thống kê và cú pháp đại diện cho thế hệ tiếp cận đầu tiên trong phân tích nhật ký tự động  [1],  [2]",Jiang2024LogParsingEval,A Large-Scale Evaluation for Log Parsing Techniques: How Far Are We?,SUPPORTED,"Jiang et al. (ISSTA 2024) hệ thống hóa các nhóm thuật toán phân tích cú pháp log theo cây định dạng, cụm từ vựng và so khớp mẫu.",https://doi.org/10.1145/3650212.3652123 | p. 3 | 2 BACKGROUND AND MOTIVATION (2.1 Existing Log Parsing Techniques),https://doi.org/10.1145/3650212.3652123,p. 3,2 BACKGROUND AND MOTIVATION (2.1 Existing Log Parsing Techniques),PARSER_BENCHMARK_TAXONOMY,NONE
OCC-0053,p_156,"Trong giai đoạn phân tích cú pháp, nhiều thuật toán tiêu biểu đã được phát triển nhằm tối ưu hóa tốc độ xử lý  [1]",Zhu2019LogParsing,Tools and Benchmarks for Automated Log Parsing,SUPPORTED,Zhu et al. (ICSE-SEIP 2019) tổng hợp và triển khai mã nguồn đối chuẩn cho 13 bộ phân tích cú pháp log tiêu biểu trong thực tế.,https://doi.org/10.1109/ICSE-SEIP.2019.00021 | p. 4 | II. LOG PARSING FRAMEWORK (D. Tool Implementation),https://doi.org/10.1109/ICSE-SEIP.2019.00021,p. 4,II. LOG PARSING FRAMEWORK (D. Tool Implementation),PARSER_ALGORITHMS_OVERVIEW,NONE
OCC-0054,p_156,thứ nhất là Drain  [1],Zhu2019LogParsing,Tools and Benchmarks for Automated Log Parsing,SUPPORTED,Zhu et al. (ICSE-SEIP 2019) đặc tả kỹ thuật của Drain: sử dụng cây phân tích có độ sâu cố định (Fixed-Depth Parse Tree) để nhóm log theo độ dài và từ khóa đầu dòng.,https://doi.org/10.1109/ICSE-SEIP.2019.00021 | p. 4 | II. LOG PARSING FRAMEWORK (D. Tool Implementation),https://doi.org/10.1109/ICSE-SEIP.2019.00021,p. 4,II. LOG PARSING FRAMEWORK (D. Tool Implementation),DRAIN_ALGORITHM,NONE
OCC-0055,p_156,thứ hai là Spell  [1],Zhu2019LogParsing,Tools and Benchmarks for Automated Log Parsing,SUPPORTED,Zhu et al. (ICSE-SEIP 2019) mô tả thuật toán Spell dựa trên kỹ thuật tìm chuỗi con chung dài nhất trực tuyến (Streaming LCS) để trích xuất mẫu định dạng.,https://doi.org/10.1109/ICSE-SEIP.2019.00021 | p. 4 | II. LOG PARSING FRAMEWORK (D. Tool Implementation),https://doi.org/10.1109/ICSE-SEIP.2019.00021,p. 4,II. LOG PARSING FRAMEWORK (D. Tool Implementation),SPELL_ALGORITHM,NONE
OCC-0056,p_156,thứ ba là LenMa và AEL  [1],Zhu2019LogParsing,Tools and Benchmarks for Automated Log Parsing,SUPPORTED,Zhu et al. (ICSE-SEIP 2019) phân tích cơ chế phân cụm của LenMa (dựa trên độ dài từ tố) và AEL (dựa trên phân tích tần suất xuất hiện từ tố) để tách biến số.,https://doi.org/10.1109/ICSE-SEIP.2019.00021 | p. 4 | II. LOG PARSING FRAMEWORK (D. Tool Implementation),https://doi.org/10.1109/ICSE-SEIP.2019.00021,p. 4,II. LOG PARSING FRAMEWORK (D. Tool Implementation),LENMA_AEL_ALGORITHMS,NONE
OCC-0057,p_156,"thứ ba là LenMa và AEL  [1],  [2]",Jiang2024LogParsingEval,A Large-Scale Evaluation for Log Parsing Techniques: How Far Are We?,SUPPORTED,Jiang et al. (ISSTA 2024) đánh giá thực nghiệm hiệu năng và độ chính xác phân cụm của LenMa và AEL trên kho dữ liệu chuẩn Loghub-2.0.,"https://doi.org/10.1145/3650212.3652123 | p. 3, 7-9 | 2.1 Existing Log Parsing Techniques & 5 STUDY RESULTS (Figure 3)",https://doi.org/10.1145/3650212.3652123,"p. 3, 7-9",2.1 Existing Log Parsing Techniques & 5 STUDY RESULTS (Figure 3),LENMA_AEL_EVALUATION,NONE
OCC-0058,p_161,"Trên không gian vector tần suất này, các mô hình phát hiện bất thường kinh điển được triển khai rộng rãi, tiêu biểu là phân tích thành phần chính PCA (Xu et al., SOSP 2009)  [17]",Xu2009HDFS,Detecting Large-Scale System Problems by Mining Console Logs,SUPPORTED,Xu et al. (SOSP 2009) đề xuất phương pháp phát hiện bất thường kinh điển sử dụng PCA: phân rã không gian vector đếm thành không gian con chuẩn và không gian con phần dư để phát hiện sự cố.,https://doi.org/10.1145/1629575.1629587 | p. 121-122 | 3.3 PCA-Based Anomaly Detection,https://doi.org/10.1145/1629575.1629587,p. 121-122,3.3 PCA-Based Anomaly Detection,PCA_ANOMALY_DETECTION,NONE
OCC-0059,p_163,"Thứ hai, Invariant Mining (Lou et al., USENIX ATC 2010)  [22]",Lou2010MiningInvariants,Mining Invariants from Console Logs for System Problem Detection,SUPPORTED,Lou et al. (USENIX ATC 2010) đề xuất thuật toán tự động khai phá các phương trình bất biến tuyến tính Ax = 0 từ ma trận đếm số lượng log để phát hiện vi phạm thực thi.,https://www.usenix.org/conference/atc-10/mining-invariants-console-logs-system-problem-detection | p. 3-6 | 3 Invariant Mining Algorithm & 4 Problem Detection,https://www.usenix.org/conference/atc-10/mining-invariants-console-logs-system-problem-detection,p. 3-6,3 Invariant Mining Algorithm & 4 Problem Detection,INVARIANT_MINING,NONE
OCC-0060,p_165,Mặc dù sở hữu ưu thế về hiệu quả tính toán trong thực tiễn (Zhu et al. (2019)  [1],Zhu2019LogParsing,Tools and Benchmarks for Automated Log Parsing,SUPPORTED,Zhu et al. (ICSE-SEIP 2019) chứng minh thực nghiệm ưu thế về tốc độ xử lý và độ phức tạp xấp xỉ tuyến tính O(N) của các bộ phân tích cú pháp thực nghiệm.,https://doi.org/10.1109/ICSE-SEIP.2019.00021 | p. 7 | III. EVALUATION (D. Efficiency of Log Parsers & TABLE V),https://doi.org/10.1109/ICSE-SEIP.2019.00021,p. 7,III. EVALUATION (D. Efficiency of Log Parsers & TABLE V),PARSER_EFFICIENCY_BOUND,NONE
OCC-0061,p_165,Jiang et al. (2024)  [2],Jiang2024LogParsingEval,A Large-Scale Evaluation for Log Parsing Techniques: How Far Are We?,SUPPORTED,Jiang et al. (ISSTA 2024) đo lường hiệu năng và thông lượng tính toán của 15 bộ phân tích cú pháp trên quy mô hàng triệu dòng log thực tế.,https://doi.org/10.1145/3650212.3652123 | p. 8-9 | 5 STUDY RESULTS (5.2.2 Efficiency),https://doi.org/10.1145/3650212.3652123,p. 8-9,5 STUDY RESULTS (5.2.2 Efficiency),LARGE_SCALE_PARSER_EFFICIENCY,NONE
OCC-0062,p_165,"Hai là, lan truyền và khuếch đại sai số cú pháp (Parser Error Propagation) khi xử lý các định dạng phức tạp hoặc chưa từng xuất hiện (Zhu et al. (2019)  [1]",Zhu2019LogParsing,Tools and Benchmarks for Automated Log Parsing,SUPPORTED,Zhu et al. (ICSE-SEIP 2019) chỉ ra hiện tượng sai số phân tích cú pháp (Parser Error Propagation) khi các bộ phân tích gặp mẫu phức tạp hoặc dữ liệu phân phối lạ.,https://doi.org/10.1109/ICSE-SEIP.2019.00021 | p. 6-7 | III. EVALUATION (B. Accuracy of Log Parsers & C. Robustness of Log Parsers),https://doi.org/10.1109/ICSE-SEIP.2019.00021,p. 6-7,III. EVALUATION (B. Accuracy of Log Parsers & C. Robustness of Log Parsers),PARSER_ERROR_PROPAGATION,NONE
OCC-0063,p_165,Jiang et al. (2024)  [2],Jiang2024LogParsingEval,A Large-Scale Evaluation for Log Parsing Techniques: How Far Are We?,SUPPORTED,"Jiang et al. (ISSTA 2024) chứng minh định lượng hiện tượng lan truyền và khuếch đại sai số cú pháp, nơi phân loại sai mẫu ở khâu tiền xử lý làm biến dạng đặc trưng ở các tác vụ hạ nguồn.",https://doi.org/10.1145/3650212.3652123 | p. 10-11 | 6 DISCUSSION (6.1 Implications),https://doi.org/10.1145/3650212.3652123,p. 10-11,6 DISCUSSION (6.1 Implications),PARSER_ERROR_DISTORTION,NONE
OCC-0064,p_167,"Khắc phục sự cứng nhắc của các vector đếm tần suất và tận dụng trật tự xuất hiện của các sự kiện, nhóm phương pháp Semantic–Sequential mô hình hóa luồng log tương tự như các chuỗi ngôn ngữ tự nhiên, tích hợp các kỹ thuật nhúng từ và học tự giám sát (Self-Supervised Learning) để nắm bắt phụ thuộc ngữ cảnh dài hạn  [23]",Du2017DeepLog,DeepLog: Anomaly Detection and Diagnosis from System Logs through Deep Learning,SUPPORTED,Du et al. (CCS 2017) tiên phong chuyển dịch từ vector đếm tĩnh sang mô hình hóa chuỗi tuần tự bằng mạng nơ-ron hồi quy LSTM.,https://doi.org/10.1145/3133956.3134015 | p. 1-2 | 1 INTRODUCTION & 2 OVERVIEW OF DEEPLOG,https://doi.org/10.1145/3133956.3134015,p. 1-2,1 INTRODUCTION & 2 OVERVIEW OF DEEPLOG,SEQUENTIAL_DEEPLOG_TAXONOMY,NONE
OCC-0065,p_167,"Khắc phục sự cứng nhắc của các vector đếm tần suất và tận dụng trật tự xuất hiện của các sự kiện, nhóm phương pháp Semantic–Sequential mô hình hóa luồng log tương tự như các chuỗi ngôn ngữ tự nhiên, tích hợp các kỹ thuật nhúng từ và học tự giám sát (Self-Supervised Learning) để nắm bắt phụ thuộc ngữ cảnh dài hạn  [23],  [24]",Guo2021LogBERT,LogBERT: Log Anomaly Detection via BERT,SUPPORTED,Guo et al. (IJCNN 2021) ứng dụng mô hình Transformer/BERT để nắm bắt phụ thuộc hai chiều trong chuỗi khóa sự kiện nhật ký.,https://doi.org/10.1109/IJCNN52387.2021.9534113 | p. 1-3 | I. INTRODUCTION & III. METHODOLOGY,https://doi.org/10.1109/IJCNN52387.2021.9534113,p. 1-3,I. INTRODUCTION & III. METHODOLOGY,SEQUENTIAL_LOGBERT_TAXONOMY,NONE
OCC-0066,p_167,"Khắc phục sự cứng nhắc của các vector đếm tần suất và tận dụng trật tự xuất hiện của các sự kiện, nhóm phương pháp Semantic–Sequential mô hình hóa luồng log tương tự như các chuỗi ngôn ngữ tự nhiên, tích hợp các kỹ thuật nhúng từ và học tự giám sát (Self-Supervised Learning) để nắm bắt phụ thuộc ngữ cảnh dài hạn  [23],  [24],  [25]",Le2021NeuralLog,Log-based Anomaly Detection Without Log Parsing,SUPPORTED,"Le et al. (ASE 2021) đề xuất mô hình hóa chuỗi log trực tiếp từ văn bản thô bằng xử lý ngôn ngữ tự nhiên, loại bỏ bước tách mẫu tĩnh.",https://doi.org/10.1109/ASE51524.2021.9678773 | p. 1-3 | I. INTRODUCTION & III. NEURALLOG,https://doi.org/10.1109/ASE51524.2021.9678773,p. 1-3,I. INTRODUCTION & III. NEURALLOG,SEQUENTIAL_NEURALLOG_TAXONOMY,NONE
OCC-0067,p_167,"Khắc phục sự cứng nhắc của các vector đếm tần suất và tận dụng trật tự xuất hiện của các sự kiện, nhóm phương pháp Semantic–Sequential mô hình hóa luồng log tương tự như các chuỗi ngôn ngữ tự nhiên, tích hợp các kỹ thuật nhúng từ và học tự giám sát (Self-Supervised Learning) để nắm bắt phụ thuộc ngữ cảnh dài hạn  [23],  [24],  [25],  [26]",Meng2019LogAnomaly,LogAnomaly: Unsupervised Detection of Sequential and Quantitative Anomalies in Unstructured Logs,SUPPORTED,Meng et al. (IJCAI 2019) phát triển biểu diễn vector ngữ nghĩa Template2Vec để mô hình hóa đồng thời bất thường chuỗi và bất thường số lượng.,https://doi.org/10.24963/ijcai.2019/658 | p. 1-3 | 1 Introduction & 3 Template2Vec,https://doi.org/10.24963/ijcai.2019/658,p. 1-3,1 Introduction & 3 Template2Vec,SEQUENTIAL_LOGANOMALY_TAXONOMY,NONE
OCC-0068,p_167,"Khắc phục sự cứng nhắc của các vector đếm tần suất và tận dụng trật tự xuất hiện của các sự kiện, nhóm phương pháp Semantic–Sequential mô hình hóa luồng log tương tự như các chuỗi ngôn ngữ tự nhiên, tích hợp các kỹ thuật nhúng từ và học tự giám sát (Self-Supervised Learning) để nắm bắt phụ thuộc ngữ cảnh dài hạn  [23],  [24],  [25],  [26],  [27]",Nedelkoski2020SelfAttentive,Self-Attentive Classification-Based Anomaly Detection in Unstructured Logs,SUPPORTED,Nedelkoski et al. (ICDM 2020) áp dụng cơ chế chú ý tự thân (Self-Attention) để nắm bắt quan hệ phụ thuộc ngữ cảnh chuỗi log phi cấu trúc.,https://doi.org/10.1109/ICDM50108.2020.00148 | p. 1-3 | I. INTRODUCTION & III. APPROACH,https://doi.org/10.1109/ICDM50108.2020.00148,p. 1-3,I. INTRODUCTION & III. APPROACH,SEQUENTIAL_SELF_ATTENTIVE_TAXONOMY,NONE
OCC-0069,p_168,Khởi đầu cho hướng nghiên cứu này là mô hình DeepLog  [23],Du2017DeepLog,DeepLog: Anomaly Detection and Diagnosis from System Logs through Deep Learning,SUPPORTED,Du et al. (CCS 2017) được trích dẫn là công trình tiên phong thiết lập mô hình học sâu cho bài toán phát hiện bất thường nhật ký hệ thống.,https://doi.org/10.1145/3133956.3134015 | p. 1-2 | 1 INTRODUCTION,https://doi.org/10.1145/3133956.3134015,p. 1-2,1 INTRODUCTION,DEEPLOG_PIONEERING,NONE
OCC-0070,p_168,mô hình LSTM học trật tự thực thi bình thường thông qua phân phối có điều kiện  trên cửa sổ trượt k sự kiện trước đó  [23],Du2017DeepLog,DeepLog: Anomaly Detection and Diagnosis from System Logs through Deep Learning,SUPPORTED,"Du et al. (CCS 2017) mô hình hóa quy luật xuất hiện của log key theo phân phối xác suất có điều kiện P(k_t | k_{t-h}, ..., k_{t-1}) bằng mạng LSTM.",https://doi.org/10.1145/3133956.3134015 | p. 4-5 | 3 LOG KEY ANOMALY DETECTION (3.1 Log Key Sequence Anomaly Detection Model),https://doi.org/10.1145/3133956.3134015,p. 4-5,3 LOG KEY ANOMALY DETECTION (3.1 Log Key Sequence Anomaly Detection Model),DEEPLOG_CONDITIONAL_PROBABILITY,NONE
OCC-0071,p_170,"Song song với luồng sự kiện phân loại, DeepLog xây dựng mô hình LSTM thứ hai kết hợp phân phối chuẩn nhiều chiều để kiểm tra độ lệch bất thường của các tham số số học  [23]",Du2017DeepLog,DeepLog: Anomaly Detection and Diagnosis from System Logs through Deep Learning,SUPPORTED,Du et al. (CCS 2017) thiết lập mô hình ước lượng phân phối Gaussian nhiều chiều để kiểm soát tính bất thường của các giá trị tham số động trong log.,https://doi.org/10.1145/3133956.3134015 | p. 6-7 | 4 PARAMETER VALUE ANOMALY DETECTION,https://doi.org/10.1145/3133956.3134015,p. 6-7,4 PARAMETER VALUE ANOMALY DETECTION,DEEPLOG_GAUSSIAN_PARAMETERS,NONE
